brand,model,price
ford,se,2899
ford,door,14441
ford,mpv,6252
ford,doors,20730
ford,chassis,6425
ford,convertible,13000
ford,pk,2658
ford,srw,45331
ford,focus,10644
ford,escape,14738
ford,explorer,26794
ford,f-150,28196
ford,cutaway,12330
ford,el,28800
ford,edge,22664
ford,flex,23778
ford,cab,14572
ford,wagon,24741
ford,van,11020
ford,cargo,2900
ford,pickup,5200
ford,drw,41980
ford,fiesta,8657
ford,fusion,15269
ford,mustang,25841
ford,transit,23251
ford,ranger,29066
ford,taurus,17960
ford,max,44658
ford,energi,8300
ford,expedition,42667
ford,bus,10050
ford,ecosport,14171
ford,f-750,20300
ford,d,10250
ford,dr,20000
ford,hybrid,14180
ford,suv,19995
ford,connect,8500
ford,f-650,34800
chevrolet,1500,26706
chevrolet,2500,31612
chevrolet,3500,38325
chevrolet,pk,7300
chevrolet,malibu,13533
chevrolet,door,12314
chevrolet,camaro,25916
chevrolet,equinox,15438
chevrolet,colorado,19642
chevrolet,van,16566
chevrolet,vehicl,25
chevrolet,trax,14412
chevrolet,tahoe,36011
chevrolet,suburban,33156
chevrolet,impala,16008
chevrolet,pickup,2411
chevrolet,traverse,24116
chevrolet,coupe,2306
chevrolet,cab,10440
chevrolet,cutaway,16100
chevrolet,utility,8430
chevrolet,sonic,5850
chevrolet,corvette,52025
chevrolet,passenger,18933
chevrolet,volt,16550
chevrolet,spark,7200
chevrolet,cruze,6000
chevrolet,ld,25433
kia,forte,6250
kia,sorento,17260
kia,door,6703
kia,soul,12700
kia,wagon,0
kia,sportage,13000
bmw,x3,24550
bmw,door,9725
bmw,m,53500
bmw,series,36962
bmw,coupe,1825
dodge,mpv,5293
dodge,coupe,10400
dodge,challenger,26025
dodge,durango,29276
dodge,charger,23707
dodge,caravan,16040
dodge,dart,6800
dodge,van,5143
dodge,doors,15710
dodge,door,8798
dodge,pk,1400
dodge,pickup,9366
dodge,journey,15605
nissan,doors,5810
nissan,mpv,4755
nissan,cab,8350
nissan,door,6329
nissan,sentra,9573
nissan,altima,13923
nissan,sport,12477
nissan,frontier,18107
nissan,rogue,15094
nissan,maxima,15900
nissan,versa,8438
nissan,note,6050
nissan,armada,25825
nissan,pathfinder,18622
nissan,titan,24120
nissan,sedan,7825
nissan,juke,8400
nissan,cargo,19000
nissan,murano,20765
nissan,xterra,6700
nissan,kicks,15300
nissan,xd,36300
nissan,nvp,22700